担当者,アーティスト,曲名（optional）,URL,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,ジャンル
黒田,嵐,Happiness,https://open.spotify.com/intl-ja/track/0Ns63lt28epRgED3Tnhmth?si=ce5af2610a3246d7,Happy/Excited,Relax/Chill,Relax/Chill,Happy/Excited,応援ソング
黒田,嵐,A・RA・SHI,https://open.spotify.com/intl-ja/track/1kdGYCHCff09E2FASM5IVY?si=15947a9342874da7,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,パーティーソング
黒田,嵐,Love so sweet,https://open.spotify.com/intl-ja/track/10G6iBGzoMi9qXgDV9qyBy?si=abcda21d88434984,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
黒田,嵐,Monster,https://open.spotify.com/intl-ja/track/7jqRTdBUqNhJaI0fKdOClO?si=d6eb91b7fd034312,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,鬱ソング
黒田,嵐,Troublemaker,https://open.spotify.com/intl-ja/track/786L5PPUvqcX7vBmxCbtzi?si=558632902f154bc4,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,その他
黒田,嵐,One Love,https://open.spotify.com/intl-ja/track/3r6Am8NvUDbuS2Yqv76ivi?si=331d675b8d6e49e9,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
黒田,嵐,GUTS!,https://open.spotify.com/intl-ja/track/384jVNcJAiC2XGPMRnZj1H?si=233a106a7d214971,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング
黒田,嵐,ワイルドアットハート,https://open.spotify.com/intl-ja/track/7jc1VLTIiYgREGfCpUg4ot?si=ef0183483c2243aaa,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,応援ソング
黒田,嵐,サクラ咲ケ,https://open.spotify.com/intl-ja/track/1hpmLnKKouKUN8nVd33KOi?si=1fa1d59028614852,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング
黒田,Vaundy,怪獣の花唄,https://open.spotify.com/intl-ja/track/7dTW21YAJxnAOiUh7Rtu9S?si=09a91246ef4e455f,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,失恋ソング
黒田,Vaundy,踊り子,https://open.spotify.com/intl-ja/track/1YXot2MLAG9sttepCtBRM7?si=8ac87d38930b457b,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,失恋ソング
黒田,Vaundy,不可幸力,https://open.spotify.com/intl-ja/track/6AncLCxf4U7ivJEaqih9zA?si=db4b8f674b554d89,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング
