担当者,アーティスト,曲名（optional）,URL,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,ジャンル,id,name,artists,genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity
黒田,嵐,Happiness,https://open.spotify.com/intl-ja/track/0Ns63lt28epRgED3Tnhmth?si=ce5af2610a3246d7,Happy/Excited,Relax/Chill,Relax/Chill,Happy/Excited,応援ソング,0Ns63lt28epRgED3Tnhmth,Happiness,['ARASHI'],j-pop,58.0,258250.0,114.84,5.0,0.0,0.59,0.39,0.5,0.5,0.74,0.93,0.15,52.0,0.52,52.0,0.94
黒田,嵐,A・RA・SHI,https://open.spotify.com/intl-ja/track/1kdGYCHCff09E2FASM5IVY?si=15947a9342874da7,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,パーティーソング,1kdGYCHCff09E2FASM5IVY,A・RA・SHI,['ARASHI'],,59.0,,126.05,4.0,1.0,0.58,0.39,0.46,0.8,0.74,0.93,0.15,60.0,0.48,60.0,0.93
黒田,嵐,Love so sweet,https://open.spotify.com/intl-ja/track/10G6iBGzoMi9qXgDV9qyBy?si=abcda21d88434984,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング,10G6iBGzoMi9qXgDV9qyBy,Love so sweet,['ARASHI'],pop,59.0,289845.0,92.29,0.0,1.0,0.52,0.37,0.47,0.79,0.75,0.93,0.2,41.0,0.65,41.0,0.86
黒田,嵐,Monster,https://open.spotify.com/intl-ja/track/7jqRTdBUqNhJaI0fKdOClO?si=d6eb91b7fd034312,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,鬱ソング,7jqRTdBUqNhJaI0fKdOClO,Monster,['ARASHI'],pop,60.0,267514.0,136.0,3.0,1.0,0.57,0.39,0.52,0.8,0.75,0.93,0.17,64.0,0.44,64.0,0.97
黒田,嵐,Troublemaker,https://open.spotify.com/intl-ja/track/786L5PPUvqcX7vBmxCbtzi?si=558632902f154bc4,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,その他,786L5PPUvqcX7vBmxCbtzi,Troublemaker,['ARASHI'],,58.0,,92.29,9.0,1.0,0.59,0.4,0.38,0.79,0.74,0.93,0.13,47.0,0.65,47.0,0.94
黒田,嵐,One Love,https://open.spotify.com/intl-ja/track/3r6Am8NvUDbuS2Yqv76ivi?si=331d675b8d6e49e9,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング,3r6Am8NvUDbuS2Yqv76ivi,One Love,['ARASHI'],j-pop,58.0,285459.0,103.36,2.0,1.0,0.48,0.34,0.44,0.79,0.75,0.95,0.23,50.0,0.58,50.0,0.96
黒田,嵐,GUTS!,https://open.spotify.com/intl-ja/track/384jVNcJAiC2XGPMRnZj1H?si=233a106a7d214971,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング,384jVNcJAiC2XGPMRnZj1H,GUTS！,['ARASHI'],j-pop,54.0,294290.0,126.05,2.0,1.0,0.53,0.37,0.45,0.8,0.74,0.96,0.14,63.0,0.48,63.0,0.98
黒田,嵐,ワイルドアットハート,https://open.spotify.com/intl-ja/track/7jc1VLTIiYgREGfCpUg4ot?si=ef0183483c2243aaa,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,応援ソング,7jc1VLTIiYgREGfCpUg4ot,ワイルド アット ハート,['ARASHI'],,58.0,,123.05,1.0,0.0,0.6,0.36,0.47,0.5,0.75,0.95,0.17,51.0,0.49,51.0,0.91
黒田,嵐,サクラ咲ケ,https://open.spotify.com/intl-ja/track/1hpmLnKKouKUN8nVd33KOi?si=1fa1d59028614852,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング,1hpmLnKKouKUN8nVd33KOi,サクラ咲ケ,['ARASHI'],,59.0,,83.35,10.0,1.0,0.63,0.36,0.42,0.78,0.74,0.96,0.19,40.0,0.72,40.0,0.9
黒田,Vaundy,怪獣の花唄,https://open.spotify.com/intl-ja/track/7dTW21YAJxnAOiUh7Rtu9S?si=09a91246ef4e455f,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,失恋ソング,7dTW21YAJxnAOiUh7Rtu9S,怪獣の花唄,['Vaundy'],,77.0,,74.9,2.0,1.0,0.57,0.39,0.37,0.78,0.74,0.94,0.14,36.0,0.8,36.0,0.87
