genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
j-pop,58.0,258250.0,114.84,5.0,0.0,0.59,0.39,0.5,0.5,0.74,0.93,0.15,52.0,0.52,52.0,0.94,Happy/Excited
,59.0,,126.05,4.0,1.0,0.58,0.39,0.46,0.8,0.74,0.93,0.15,60.0,0.48,60.0,0.93,Happy/Excited
pop,59.0,289845.0,92.29,0.0,1.0,0.52,0.37,0.47,0.79,0.75,0.93,0.2,41.0,0.65,41.0,0.86,Happy/Excited
pop,60.0,267514.0,136.0,3.0,1.0,0.57,0.39,0.52,0.8,0.75,0.93,0.17,64.0,0.44,64.0,0.97,Happy/Excited
,58.0,,92.29,9.0,1.0,0.59,0.4,0.38,0.79,0.74,0.93,0.13,47.0,0.65,47.0,0.94,Happy/Excited
j-pop,58.0,285459.0,103.36,2.0,1.0,0.48,0.34,0.44,0.79,0.75,0.95,0.23,50.0,0.58,50.0,0.96,Happy/Excited
j-pop,54.0,294290.0,126.05,2.0,1.0,0.53,0.37,0.45,0.8,0.74,0.96,0.14,63.0,0.48,63.0,0.98,Happy/Excited
,58.0,,123.05,1.0,0.0,0.6,0.36,0.47,0.5,0.75,0.95,0.17,51.0,0.49,51.0,0.91,Happy/Excited
,59.0,,83.35,10.0,1.0,0.63,0.36,0.42,0.78,0.74,0.96,0.19,40.0,0.72,40.0,0.9,Happy/Excited
,77.0,,74.9,2.0,1.0,0.57,0.39,0.37,0.78,0.74,0.94,0.14,36.0,0.8,36.0,0.87,Happy/Excited
soul,75.0,229328.0,156.61,7.0,1.0,0.55,0.24,0.49,0.58,0.83,0.99,0.44,74.0,0.38,74.0,0.96,Relax/Chill
,69.0,,93.96,9.0,1.0,0.52,0.32,0.43,0.77,0.77,0.96,0.3,46.0,0.64,46.0,0.88,Relax/Chill
soul,71.0,207486.0,136.0,10.0,0.0,0.54,0.38,0.5,0.5,0.75,0.93,0.18,66.0,0.44,66.0,0.94,Tired/Sad
,68.0,,97.51,1.0,0.0,0.59,0.34,0.42,0.49,0.75,0.96,0.24,48.0,0.62,48.0,0.92,Relax/Chill
,68.0,,129.2,11.0,1.0,0.48,0.28,0.47,0.8,0.78,0.96,0.37,62.0,0.46,62.0,0.94,Relax/Chill
j-pop,58.0,237923.0,72.79,8.0,0.0,0.6,0.39,0.35,0.48,0.74,0.93,0.15,35.0,0.82,35.0,0.91,Happy/Excited
soul,62.0,239607.0,103.36,2.0,1.0,0.51,0.34,0.43,0.79,0.76,0.94,0.26,50.0,0.58,50.0,0.89,Happy/Excited
,49.0,,120.19,0.0,1.0,0.64,0.34,0.46,0.79,0.76,0.95,0.27,43.0,0.5,43.0,0.93,Happy/Excited
soul,66.0,212495.0,120.19,0.0,0.0,0.65,0.37,0.47,0.5,0.74,0.95,0.19,60.0,0.5,60.0,0.92,Happy/Excited
pop,70.0,194293.0,101.33,10.0,0.0,0.61,0.35,0.44,0.49,0.75,0.95,0.25,48.0,0.59,48.0,0.94,Happy/Excited
pop,73.0,255826.0,86.13,11.0,1.0,0.5,0.35,0.42,0.77,0.74,0.96,0.19,42.0,0.7,42.0,0.92,Tired/Sad
pop,73.0,238533.0,99.38,3.0,1.0,0.56,0.36,0.37,0.79,0.75,0.94,0.22,48.0,0.6,48.0,0.93,Happy/Excited
pop,70.0,264533.0,103.36,11.0,0.0,0.51,0.33,0.43,0.49,0.77,0.96,0.28,51.0,0.58,51.0,0.83,Relax/Chill
pop,69.0,288013.0,172.27,1.0,0.0,0.6,0.35,0.5,0.49,0.73,0.97,0.17,84.0,0.35,84.0,0.95,Tired/Sad
pop,67.0,243813.0,120.19,1.0,0.0,0.63,0.34,0.49,0.49,0.76,0.96,0.23,59.0,0.5,59.0,0.96,Relax/Chill
