id,name,artists,genre,popularity,duration_ms,features,detail
2cop62KNgi55QqIozb5bMf,Aviation,['The Last Shadow Puppets'],rock,56.0,223915.0,"{'tempo': 86.13, 'key': 2, 'mode': 1, 'key_confidence': 0.7, 'energy': 0.34, 'danceability': 0.38, 'valence': 0.78, 'instrumentalness': 0.75, 'acousticness': 0.97, 'loudness': 0.23, 'segments': {'count': 38, 'average_duration': 0.7}, 'beats': {'count': 38, 'regularity': 0.87}}",
07zKduZ3RSrPo0jUDM2XmM,Swing Pool,['Blonde Redhead'],indie pop,23.0,255800.0,"{'tempo': 136.0, 'key': 3, 'mode': 0, 'key_confidence': 0.65, 'energy': 0.38, 'danceability': 0.48, 'valence': 0.47, 'instrumentalness': 0.74, 'acousticness': 0.94, 'loudness': 0.1, 'segments': {'count': 63, 'average_duration': 0.44}, 'beats': {'count': 63, 'regularity': 0.91}}",
6Ux0osJJ6MpXb0dw3Tq0iC,I Don`t Want U,['Blonde Redhead'],indie pop,26.0,303226.0,"{'tempo': 136.0, 'key': 2, 'mode': 1, 'key_confidence': 0.74, 'energy': 0.35, 'danceability': 0.46, 'valence': 0.73, 'instrumentalness': 0.75, 'acousticness': 0.94, 'loudness': 0.19, 'segments': {'count': 67, 'average_duration': 0.44}, 'beats': {'count': 67, 'regularity': 0.92}}",
0rQXKdkc2Yx2EfqD8gM2X4,Aladdin's Story,['Death In Vegas'],trip-hop,14.0,284200.0,"{'tempo': 161.5, 'key': 7, 'mode': 1, 'key_confidence': 0.54, 'energy': 0.33, 'danceability': 0.49, 'valence': 0.76, 'instrumentalness': 0.75, 'acousticness': 0.98, 'loudness': 0.18, 'segments': {'count': 78, 'average_duration': 0.37}, 'beats': {'count': 78, 'regularity': 0.95}}",
7c7XYwFipX776UmPzHNYIa,In Your Room,['Airiel'],,34.0,,"{'tempo': 139.67, 'key': 1, 'mode': 0, 'key_confidence': 0.66, 'energy': 0.36, 'danceability': 0.47, 'valence': 0.51, 'instrumentalness': 0.74, 'acousticness': 0.92, 'loudness': 0.23, 'segments': {'count': 68, 'average_duration': 0.43}, 'beats': {'count': 68, 'regularity': 0.92}}",
58AWfmYbSeMywgJtXkey7Q,Vapour Trail - 2001 Remaster,['Ride'],indie pop,51.0,257666.0,"{'tempo': 107.67, 'key': 4, 'mode': 1, 'key_confidence': 0.75, 'energy': 0.39, 'danceability': 0.42, 'valence': 0.8, 'instrumentalness': 0.73, 'acousticness': 0.92, 'loudness': 0.15, 'segments': {'count': 50, 'average_duration': 0.56}, 'beats': {'count': 50, 'regularity': 0.9}}",
4hVSvalzpYnyyMK1KF5Bcw,Unfinished Sympathy - Nellee Hooper 12'' Mix,"['Massive Attack', 'Nellee Hooper', 'Shara Nelson']",trip-hop,23.0,351533.0,"{'tempo': 114.84, 'key': 0, 'mode': 0, 'key_confidence': 0.67, 'energy': 0.33, 'danceability': 0.46, 'valence': 0.49, 'instrumentalness': 0.77, 'acousticness': 0.94, 'loudness': 0.31, 'segments': {'count': 55, 'average_duration': 0.52}, 'beats': {'count': 55, 'regularity': 0.94}}",
7mPYHaPUuci3ZE8DxCQsYN,Bullet's Lullaby - Instrumental (From: Hunt: Showdown),['Port Sulphur Band'],,32.0,,"{'tempo': 161.5, 'key': 11, 'mode': 1, 'key_confidence': 0.75, 'energy': 0.24, 'danceability': 0.47, 'valence': 0.56, 'instrumentalness': 0.83, 'acousticness': 0.99, 'loudness': 0.38, 'segments': {'count': 77, 'average_duration': 0.37}, 'beats': {'count': 77, 'regularity': 0.9}}",
6AGNrkx4zIxmr9mhtps0J6,菫,['Maaya Sakamoto'],,20.0,,"{'tempo': 143.55, 'key': 8, 'mode': 0, 'key_confidence': 0.5, 'energy': 0.33, 'danceability': 0.52, 'valence': 0.45, 'instrumentalness': 0.76, 'acousticness': 0.96, 'loudness': 0.25, 'segments': {'count': 69, 'average_duration': 0.42}, 'beats': {'count': 69, 'regularity': 0.93}}",
5TOn2uvdEBsBzwQ5atRd2i,She's Electric,['Oasis'],,46.0,,"{'tempo': 126.05, 'key': 8, 'mode': 0, 'key_confidence': 0.61, 'energy': 0.35, 'danceability': 0.43, 'valence': 0.47, 'instrumentalness': 0.73, 'acousticness': 0.97, 'loudness': 0.16, 'segments': {'count': 62, 'average_duration': 0.48}, 'beats': {'count': 62, 'regularity': 0.92}}",
